Vinkel[deg];Trykk topp[Bar];Trykk Veivhus[Bar];
34,500;23,069;5,756
37,500;22,987;5,552
40,500;23,074;5,336
43,500;23,005;5,196
46,500;23,025;4,896
49,500;23,003;4,640
52,500;22,986;4,274
55,500;23,036;3,932
58,500;22,989;3,563
61,500;23,009;3,332
64,500;22,990;2,891
67,500;23,004;2,595
70,500;22,977;2,080
73,500;23,013;1,755
76,500;22,994;1,281
79,500;23,089;0,922
82,500;23,087;0,499
85,500;23,090;0,096
88,500;23,021;-0,329
91,500;23,077;-0,763
94,500;23,111;-1,186
97,500;23,134;-1,491
100,500;23,059;-1,979
103,500;23,107;-2,354
106,500;23,118;-2,701
109,500;23,143;-3,030
112,500;23,197;-3,445
115,500;23,172;-3,856
118,500;23,169;-4,186
121,500;23,184;-4,488
124,500;23,153;-4,794
127,500;23,216;-5,135
130,500;23,157;-5,462
133,500;23,267;-5,731
136,500;23,261;-6,061
139,500;23,346;-6,201
142,500;23,279;-6,500
145,500;23,362;-6,758
148,500;23,401;-7,023
151,500;23,279;-7,265
154,500;23,326;-7,410
157,500;23,395;-7,586
160,500;23,464;-7,779
163,500;23,397;-8,012
166,500;23,305;-8,122
169,500;23,382;-8,108
172,500;23,387;-8,400
175,500;23,382;-8,560
178,500;23,323;-8,557
181,500;23,428;-8,660
184,500;23,419;-8,770
187,500;23,423;-8,855
190,500;23,472;-8,952
193,500;23,414;-9,019
196,500;23,419;-9,004
199,500;23,521;-8,986
202,500;23,511;-9,031
205,500;23,472;-8,964
208,500;23,468;-8,942
211,500;23,461;-8,994
214,500;23,491;-8,872
217,500;23,477;-8,999
220,500;23,473;-8,830
223,500;23,498;-8,754
226,500;23,506;-8,639
229,500;23,472;-8,547
232,500;23,575;-8,449
235,500;23,546;-8,341
238,500;23,488;-8,219
241,500;23,466;-8,097
244,500;23,500;-7,888
247,500;23,474;-7,769
250,500;23,534;-7,574
253,500;23,470;-7,358
256,500;23,462;-7,104
259,500;23,493;-6,995
262,500;23,518;-6,731
265,500;23,469;-6,472
268,500;23,367;-6,199
271,500;23,445;-5,943
274,500;23,460;-5,702
277,500;23,459;-5,339
280,500;23,424;-5,041
283,500;23,400;-4,737
286,500;23,352;-4,461
289,500;23,394;-4,041
292,500;23,397;-3,635
295,500;23,321;-3,328
298,500;23,339;-2,963
301,500;23,339;-2,553
304,500;23,320;-2,155
307,500;23,262;-1,820
310,500;23,240;-1,319
313,500;23,247;-0,931
316,500;23,292;-0,546
319,500;23,272;-0,116
322,500;23,205;0,382
325,500;23,208;0,825
328,500;23,141;1,274
331,500;23,215;1,611
334,500;23,202;2,118
337,500;23,211;2,490
340,500;23,173;2,955
343,500;23,195;3,311
346,500;23,128;3,668
349,500;23,164;4,065
352,500;23,107;4,365
355,500;23,154;4,672
358,500;23,081;4,966
361,500;23,113;5,248
364,500;23,110;5,495
367,500;23,071;5,664
370,500;23,052;5,789
373,500;23,086;5,879
376,500;23,052;5,969
379,500;23,047;6,009
382,500;23,031;5,927
385,500;23,029;5,964
388,500;23,069;5,866
391,500;23,044;5,809
394,500;23,087;5,754
397,500;22,980;5,545
400,500;23,073;5,337
403,500;23,010;5,206
406,500;23,043;4,893
409,500;22,986;4,634
412,500;22,963;4,275
415,500;23,087;3,949
418,500;23,002;3,555
421,500;23,022;3,309
424,500;23,003;2,904
427,500;22,984;2,589
430,500;22,994;2,082
433,500;23,074;1,731
436,500;23,011;1,273
439,500;23,117;0,921
442,500;23,089;0,517
445,500;23,069;0,060
448,500;23,033;-0,385
451,500;23,072;-0,756
454,500;23,113;-1,160
457,500;23,134;-1,473
460,500;23,066;-1,976
463,500;23,096;-2,359
466,500;23,151;-2,711
469,500;23,123;-3,035
472,500;23,187;-3,429
475,500;23,175;-3,872
478,500;23,170;-4,173
481,500;23,187;-4,467
484,500;23,183;-4,785
487,500;23,215;-5,131
490,500;23,158;-5,454
493,500;23,268;-5,718
496,500;23,267;-6,054
499,500;23,346;-6,201
502,500;23,276;-6,533
505,500;23,362;-6,744
508,500;23,406;-7,023
511,500;23,280;-7,281
514,500;23,325;-7,450
517,500;23,399;-7,582
520,500;23,455;-7,780
523,500;23,356;-7,975
526,500;23,309;-8,102
529,500;23,377;-8,140
532,500;23,379;-8,390
535,500;23,376;-8,542
538,500;23,327;-8,546
541,500;23,441;-8,681
544,500;23,397;-8,755
547,500;23,424;-8,838
550,500;23,469;-8,918
553,500;23,413;-9,028
556,500;23,416;-9,013
559,500;23,505;-8,986
562,500;23,509;-9,000
565,500;23,456;-8,940
568,500;23,478;-8,937
571,500;23,457;-9,011
574,500;23,495;-8,892
577,500;23,479;-8,991
580,500;23,469;-8,827
583,500;23,496;-8,764
586,500;23,503;-8,664
589,500;23,468;-8,542
592,500;23,580;-8,439
595,500;23,521;-8,328
598,500;23,488;-8,229
601,500;23,465;-8,089
604,500;23,516;-7,920
607,500;23,478;-7,770
610,500;23,532;-7,570
613,500;23,471;-7,369
616,500;23,439;-7,140
619,500;23,494;-7,000
622,500;23,477;-6,732
625,500;23,469;-6,475
628,500;23,419;-6,192
631,500;23,438;-5,924
634,500;23,478;-5,687
637,500;23,455;-5,363
640,500;23,420;-5,048
643,500;23,399;-4,746
646,500;23,359;-4,467
649,500;23,394;-4,035
652,500;23,363;-3,637
655,500;23,357;-3,321
658,500;23,340;-2,946
661,500;23,339;-2,541
664,500;23,300;-2,159
667,500;23,266;-1,835
670,500;23,238;-1,345
673,500;23,246;-0,916
676,500;23,271;-0,553
679,500;23,271;-0,101
682,500;23,204;0,392
685,500;23,216;0,837
688,500;23,132;1,240
691,500;23,217;1,591
694,500;23,201;2,112
697,500;23,202;2,491
700,500;23,170;2,947
703,500;23,195;3,311
706,500;23,131;3,666
709,500;23,173;4,081
712,500;23,105;4,345
715,500;23,154;4,666
718,500;23,108;4,971
721,500;23,109;5,241
724,500;23,106;5,501
727,500;23,072;5,616
730,500;23,039;5,817
733,500;23,086;5,882
736,500;23,051;5,966
739,500;23,015;6,007
742,500;23,024;5,912
745,500;23,030;5,965
748,500;23,069;5,863
751,500;23,031;5,801
